Time (sec), Avg. Response Time (us), Standard deviation (us)
981,12067.0,10231.48
982,11048.0,7099.87
983,11105.0,6413.25
984,13387.0,15713.81
985,11971.0,8781.2
986,11023.0,10951.52
987,11204.0,12383.92
988,9837.0,4955.83
989,15035.0,27889.87
990,9453.0,4685.52
991,11228.0,8596.45
992,10338.0,7771.62
993,11130.0,6415.64
994,11261.0,8591.05
995,10670.0,4940.8
996,11382.0,9029.63
997,11594.0,10033.67
998,16157.0,28770.3
999,11889.0,9196.95
1000,10509.0,5684.74
1001,10416.0,7394.75
1002,12930.0,21790.31
1003,11874.0,7305.02
1004,12273.0,22614.81
1005,12733.0,15962.03
1006,11617.0,9371.88
1007,12967.0,19498.18
1008,12460.0,9802.33
1009,11589.0,6547.67
1010,12057.0,16525.46
1011,13296.0,25430.46
1012,11066.0,8352.2
1013,11154.0,7132.1
1014,10992.0,5227.25
1015,10897.0,5031.9
1016,11281.0,8177.37
1017,11417.0,9351.41
1018,10733.0,5457.96
1019,13165.0,17353.83
1020,13073.0,15026.1
1021,14351.0,25151.5
1022,10802.0,6813.33
1023,14237.0,23565.46
1024,10658.0,5735.2
1025,11036.0,7457.66
1026,11892.0,8809.38
1027,11249.0,6649.66
1028,11320.0,12398.97
1029,15001.0,24913.34
1030,14217.0,15062.28
1031,16139.0,20768.9
1032,13500.0,18790.42
1033,14406.0,16380.43
1034,14614.0,19055.32
1035,14080.0,19124.04
1036,9008.0,4927.62
1037,11897.0,19472.25
1038,14920.0,34369.6
1039,12042.0,8023.4
1040,10626.0,5602.0
1041,10768.0,8638.49
1042,11112.0,11401.08
1043,11251.0,6679.56
1044,11437.0,6105.85
1045,10382.0,5181.96
1046,14411.0,30055.35
1047,13345.0,14222.98
1048,11584.0,7284.7
1049,13419.0,18030.49
1050,12334.0,14900.52
1051,11581.0,8674.66
1052,10425.0,5802.4
1053,12060.0,7800.99
1054,11482.0,6447.88
1055,12883.0,12395.36
1056,13063.0,20179.91
1057,10599.0,5400.5
1058,10897.0,6060.09
1059,11454.0,10214.16
1060,13874.0,30683.06
1061,11437.0,7423.78
1062,11559.0,9538.73
1063,11561.0,10673.94
1064,13353.0,13974.43
1065,11547.0,7699.58
1066,11352.0,7089.07
1067,12450.0,9999.65
1068,11074.0,5871.95
1069,12917.0,9180.99
1070,11853.0,8865.72
1071,11756.0,9895.41
1072,13110.0,17891.47
