Time (sec), Avg. Response Time (us), Standard deviation (us)
555,2900.0,3071.63
556,2844.0,3123.59
557,2839.0,6030.27
558,2951.0,3147.9
559,3142.0,3239.93
560,2932.0,3146.32
561,2893.0,3114.55
562,2812.0,3136.45
563,3013.0,3324.71
564,3043.0,3195.8
565,3029.0,3152.5
566,2983.0,3026.35
567,2929.0,3157.18
568,3315.0,3113.33
569,2960.0,3010.21
570,2810.0,3137.09
571,3101.0,3110.1
572,2956.0,3562.86
573,2941.0,3154.5
574,3012.0,3189.82
575,2984.0,3147.28
576,3032.0,3307.05
577,2960.0,3059.24
578,2990.0,3151.29
579,3346.0,3078.65
580,2939.0,3173.59
581,3090.0,3051.11
582,3154.0,3111.22
583,3384.0,3121.0
584,2999.0,3132.96
585,2841.0,3189.94
586,2873.0,3390.84
587,2909.0,2974.59
588,3057.0,3751.78
589,2979.0,3308.63
590,3042.0,3069.54
591,2937.0,3130.99
592,2939.0,3383.2
593,2975.0,4671.66
594,2838.0,3219.77
595,2857.0,3143.83
596,2788.0,3060.31
597,2859.0,3037.95
598,2921.0,3081.44
599,2891.0,3218.62
600,2850.0,5395.8
601,2802.0,3176.5
602,3021.0,3145.71
603,2839.0,3156.4
604,2944.0,3208.66
605,2936.0,3135.92
606,2858.0,3112.31
607,2891.0,3135.59
608,3055.0,3096.0
609,2878.0,3135.7
610,2919.0,3633.19
611,2923.0,3075.39
612,2985.0,3694.28
613,3197.0,3411.08
614,2870.0,3154.73
615,2914.0,3155.9
616,2999.0,3224.79
617,2980.0,3224.81
618,2924.0,3226.68
619,3000.0,3144.14
620,2863.0,8160.36
621,2855.0,3114.45
622,2969.0,3129.99
623,2909.0,3138.2
624,3000.0,3106.16
625,2916.0,3146.04
626,3193.0,3364.78
627,2879.0,3104.25
628,3027.0,3072.7
629,3068.0,3114.99
630,2884.0,3217.31
631,2955.0,3282.1
632,2949.0,5622.72
633,2862.0,3114.3
634,2941.0,3238.31
635,2841.0,3162.65
636,3033.0,3226.16
637,2966.0,3461.75
638,3064.0,3211.0
639,3037.0,3146.25
640,2822.0,3102.01
641,3051.0,3290.67
642,3215.0,5253.72
643,2918.0,3147.29
644,3081.0,3089.38
645,2873.0,3152.75
646,2903.0,3291.61
647,2974.0,3086.34
648,2885.0,3071.27
649,2858.0,3143.41
650,2811.0,3195.22
651,2806.0,3502.34
652,2959.0,3135.18
653,2922.0,3284.28
654,2893.0,3325.35
655,3070.0,3107.66
656,3069.0,3260.71
657,2962.0,3121.01
658,2880.0,3126.67
659,2857.0,3231.49
660,2885.0,3258.99
661,3120.0,3151.15
662,2858.0,3132.9
663,2905.0,3108.3
664,2956.0,3233.29
665,2797.0,3087.49
666,2776.0,3383.79
667,2844.0,3180.0
668,2870.0,3285.99
669,2856.0,3137.65
670,2901.0,3123.43
671,2966.0,3183.79
672,2971.0,3160.84
673,2929.0,3248.15
674,2871.0,3045.83
675,2878.0,3189.31
676,2818.0,3242.02
677,2966.0,3216.55
678,2998.0,6092.3
679,3119.0,3300.64
680,2937.0,3157.06
681,2923.0,3235.54
682,2952.0,3045.39
683,3001.0,3245.18
684,3399.0,3006.04
685,2972.0,3379.01
686,2912.0,3208.16
687,2962.0,3161.5
688,2817.0,3114.24
689,2910.0,3327.27
690,2865.0,3219.51
691,3424.0,3269.87
692,2967.0,3269.93
693,2904.0,3240.25
694,2980.0,3207.86
695,2875.0,3211.75
696,2940.0,3188.04
697,2952.0,3136.23
698,3008.0,2998.66
699,2884.0,3128.42
700,2874.0,3175.24
701,2942.0,3205.03
702,2979.0,3095.94
703,3302.0,13729.2
704,2879.0,3086.34
705,2868.0,3452.67
706,3023.0,3196.77
707,2892.0,3225.07
708,3042.0,3221.96
709,2950.0,3199.86
710,2906.0,4165.09
711,2954.0,3096.63
712,2906.0,3189.0
713,3103.0,3136.75
714,2952.0,3149.74
715,2922.0,3212.82
716,2873.0,3224.56
717,3301.0,3387.31
718,2967.0,3191.56
719,3023.0,3278.47
720,3056.0,3327.17
721,2968.0,3183.52
722,2955.0,3130.17
723,2938.0,3165.39
724,3039.0,3284.49
725,3026.0,3236.98
726,2742.0,3380.69
727,2927.0,3595.67
728,3192.0,3433.91
729,3101.0,3240.6
730,2911.0,3326.63
731,2942.0,3397.09
732,3016.0,3207.71
733,3059.0,3153.92
734,2910.0,3127.59
735,2928.0,3073.87
736,2984.0,3044.72
737,2971.0,3173.67
738,3029.0,3206.26
739,3077.0,3182.8
740,2971.0,3167.62
741,2988.0,3134.73
742,3152.0,3224.84
743,3092.0,3123.99
744,2922.0,3122.56
745,3025.0,3064.79
746,3110.0,3079.96
747,3158.0,3111.55
748,2966.0,3073.99
749,2940.0,3051.53
750,2910.0,3119.52
751,2912.0,3175.93
752,2968.0,3091.99
753,2945.0,3168.85
754,2880.0,3121.93
755,2987.0,3942.67
756,3231.0,3093.71
757,3074.0,3182.93
758,3043.0,3018.98
759,2927.0,3194.2
760,3111.0,9809.92
761,3203.0,3301.61
762,3011.0,3158.19
763,2963.0,3023.24
764,2995.0,3066.72
765,2954.0,3281.65
766,2924.0,3071.75
767,2970.0,3444.25
768,3037.0,3215.24
769,3057.0,3114.42
770,3260.0,3166.72
771,3076.0,3126.15
772,3042.0,3472.62
773,3021.0,3120.85
774,3038.0,2990.36
775,2913.0,3279.39
776,3077.0,3329.81
777,3064.0,3459.79
778,3037.0,3194.04
779,2913.0,3108.81
780,3202.0,3277.4
781,2871.0,3203.5
782,3119.0,3141.18
783,2910.0,6648.53
784,2922.0,3464.71
785,2900.0,3236.96
786,2949.0,3256.23
787,2988.0,3278.28
788,3253.0,3163.06
789,2961.0,3093.75
790,3069.0,3188.3
791,2911.0,3051.48
792,3111.0,3430.25
793,2829.0,3966.15
794,2805.0,3519.31
795,2867.0,3149.47
796,2810.0,3298.08
797,2828.0,3162.13
798,3029.0,3134.82
799,2893.0,3287.89
800,2911.0,3163.62
801,2930.0,3319.41
802,2881.0,3126.36
803,2927.0,3182.72
804,3131.0,3352.52
805,2814.0,3233.06
806,2907.0,3232.14
807,2949.0,3055.95
808,2954.0,3342.84
809,2864.0,3157.24
810,2900.0,3100.35
811,3192.0,3258.8
812,2975.0,3178.06
813,3158.0,3271.53
814,3021.0,3290.63
815,2866.0,3223.18
816,3007.0,3457.71
817,3000.0,3594.47
818,2910.0,3161.91
819,2954.0,3207.57
820,3001.0,3184.4
821,2894.0,3353.59
822,2909.0,3120.38
823,2829.0,3135.66
824,2823.0,3338.42
825,2918.0,3217.93
826,2864.0,3233.96
827,2869.0,3354.13
828,2922.0,3359.44
829,2856.0,3310.47
830,2802.0,3185.74
831,2848.0,3204.04
832,2901.0,3439.92
833,2932.0,3211.27
834,2860.0,3253.88
835,2936.0,3483.22
836,2954.0,3223.21
837,2898.0,3101.38
838,2904.0,3304.3
839,2846.0,3188.94
840,2927.0,3067.51
841,2884.0,3157.74
842,2979.0,3196.18
843,2950.0,3281.16
844,3028.0,3097.17
845,2918.0,3094.96
846,2923.0,3085.12
847,2886.0,3123.5
848,3096.0,3164.36
849,2990.0,3174.75
850,3004.0,3186.63
851,2910.0,3119.59
852,3001.0,2996.36
853,2925.0,3123.49
854,2892.0,3090.64
855,2809.0,3682.67
856,3049.0,3078.0
857,2817.0,3114.45
858,2883.0,3153.77
859,2865.0,3193.2
860,2824.0,3247.77
861,2899.0,3175.23
862,2839.0,4046.09
863,2898.0,3097.89
864,2740.0,3135.79
865,2921.0,3063.21
866,2988.0,3146.84
867,3020.0,3038.35
868,3048.0,3080.14
869,2973.0,3368.31
870,2947.0,3379.79
871,2926.0,3108.15
872,2928.0,3191.36
873,3013.0,3523.66
874,2933.0,3219.66
875,3011.0,3124.87
876,2990.0,3105.64
877,2939.0,3283.1
878,2926.0,3148.71
879,3113.0,3402.52
880,3006.0,4003.56
881,2995.0,3127.6
882,2941.0,3067.96
883,2983.0,3045.23
884,3024.0,3150.45
885,2885.0,3155.41
886,2953.0,3072.71
887,2985.0,3108.31
888,3024.0,3225.63
889,3091.0,3241.93
890,2838.0,3180.2
891,2953.0,3188.72
892,2868.0,3144.13
893,2899.0,3100.87
894,2913.0,3029.62
895,2953.0,2994.05
896,3033.0,3100.42
897,2994.0,3301.74
898,2979.0,3053.24
899,2854.0,3148.97
900,2891.0,3099.79
901,3261.0,3226.57
902,3060.0,3106.59
903,2875.0,3235.17
904,2876.0,3073.44
905,2908.0,3344.8
906,3007.0,3121.23
907,3366.0,3151.75
908,2858.0,3224.62
909,2955.0,3249.13
910,2973.0,3215.53
911,2910.0,3085.91
912,2932.0,3314.88
913,2892.0,2977.54
914,2910.0,3072.84
915,2795.0,3128.0
916,2956.0,3169.09
917,2953.0,3169.08
918,2983.0,3232.86
919,2907.0,4733.4
920,3033.0,3232.29
921,2918.0,3193.1
922,2988.0,3065.98
923,2890.0,3513.83
924,2909.0,3153.26
925,2949.0,3021.74
926,2931.0,3135.96
927,2846.0,3066.83
928,2895.0,3061.9
929,2832.0,3146.3
930,2851.0,3114.36
931,2975.0,3145.25
932,2924.0,4085.13
933,2911.0,3029.79
934,2958.0,3579.02
935,2844.0,3160.52
936,2970.0,3071.4
937,2894.0,3127.28
938,2933.0,3119.18
939,2901.0,3401.92
940,2953.0,3851.46
941,2896.0,3031.56
942,2880.0,3102.96
943,2949.0,3263.47
944,2914.0,6208.79
945,2879.0,3126.64
946,3022.0,3121.96
947,2833.0,3088.31
948,2931.0,3163.87
949,2941.0,3085.94
950,2930.0,3086.17
951,2960.0,3093.79
952,2972.0,3098.51
953,2859.0,3115.76
954,2999.0,3114.38
955,2949.0,3099.57
956,2956.0,3031.98
957,2935.0,3127.57
958,2935.0,3036.61
959,3665.0,3145.49
960,2979.0,3618.86
961,2880.0,3040.42
962,2941.0,3106.36
963,2918.0,3151.82
964,2784.0,3828.26
965,2820.0,3007.67
966,2911.0,3129.58
967,2838.0,3011.34
968,2893.0,3024.87
969,3044.0,3105.63
970,3080.0,3098.97
971,2999.0,3099.98
972,2979.0,3019.42
973,2986.0,3244.22
974,2888.0,3041.85
975,2892.0,3230.93
976,2932.0,3182.21
977,2965.0,3168.67
978,2923.0,3213.47
979,2901.0,3210.18
980,2893.0,3193.0
981,2855.0,3167.07
982,2980.0,3159.17
983,2897.0,3053.13
984,3072.0,3076.96
985,3037.0,3383.84
986,3021.0,3131.44
987,2985.0,3133.68
988,2869.0,3151.68
989,2912.0,3372.79
990,3377.0,3335.18
991,3013.0,3156.31
992,2812.0,3252.88
993,2892.0,3250.92
994,2957.0,3243.81
995,2962.0,3154.06
996,2876.0,3259.15
997,2939.0,3066.94
998,2968.0,15833.97
999,2880.0,3195.5
1000,3159.0,3177.58
1001,3175.0,3004.66
1002,3131.0,3111.53
1003,2910.0,3035.11
1004,3035.0,3137.08
1005,2910.0,3088.07
1006,3061.0,3184.21
1007,2962.0,3131.08
1008,2998.0,6271.12
1009,2910.0,3260.98
1010,2947.0,3121.19
1011,2963.0,3110.29
1012,2931.0,3112.0
1013,3049.0,3117.85
1014,3056.0,9077.85
1015,2991.0,3151.79
1016,2976.0,3051.7
1017,3107.0,3102.26
1018,2828.0,3294.51
1019,3050.0,3325.65
1020,2988.0,3016.52
1021,2874.0,3113.57
1022,2914.0,3140.52
1023,2853.0,3220.6
1024,2822.0,3128.67
1025,2933.0,3119.23
1026,2995.0,3169.15
1027,2846.0,3031.05
1028,2914.0,3108.21
1029,2968.0,3133.65
1030,3206.0,3565.02
1031,3057.0,3069.59
1032,2965.0,3044.6
1033,3045.0,3090.22
1034,2986.0,3121.22
1035,2912.0,3173.15
1036,2946.0,3026.84
1037,2959.0,3060.57
1038,2948.0,3251.14
1039,3002.0,5094.1
1040,2819.0,3738.54
1041,2899.0,3259.76
1042,2986.0,3153.94
1043,2979.0,3145.72
1044,3113.0,3210.47
1045,2864.0,4088.97
1046,2995.0,3307.83
1047,2857.0,3132.08
1048,3275.0,3299.46
1049,2981.0,3186.07
1050,2983.0,3192.99
1051,3194.0,3158.43
1052,2947.0,3120.12
1053,3013.0,3100.74
1054,2982.0,3143.21
1055,2943.0,3141.57
1056,2969.0,3085.59
1057,3003.0,3054.28
1058,2848.0,3346.92
1059,3137.0,3756.01
1060,3045.0,3574.5
1061,2965.0,3290.67
1062,2947.0,3048.51
1063,2878.0,3398.57
1064,2965.0,3717.55
1065,2981.0,3277.44
1066,2903.0,3295.76
1067,2814.0,3173.29
1068,2840.0,6328.9
1069,3348.0,3113.79
1070,2888.0,3037.7
1071,2931.0,3376.16
1072,2970.0,3188.71
1073,2969.0,3198.13
1074,2935.0,3201.24
1075,3048.0,3154.9
1076,2890.0,3159.28
1077,2847.0,3145.57
1078,3007.0,3153.28
1079,2843.0,6971.42
1080,2940.0,3129.9
1081,3090.0,3337.33
1082,2847.0,4007.55
1083,2937.0,6338.74
1084,2918.0,3435.78
1085,2912.0,3175.06
1086,2958.0,3063.8
1087,2864.0,3159.24
1088,3177.0,3207.92
1089,3037.0,3109.54
1090,3021.0,3710.72
1091,2945.0,3142.74
1092,2980.0,3162.26
1093,2980.0,3328.91
1094,3006.0,3022.17
1095,2884.0,3075.64
1096,2856.0,3024.43
1097,2926.0,3078.86
1098,2883.0,3105.97
1099,2967.0,3298.91
1100,2849.0,3104.79
1101,2868.0,3030.07
1102,2864.0,4159.19
1103,2925.0,3145.32
1104,3503.0,3267.41
1105,3091.0,3184.84
1106,2961.0,3104.03
1107,3022.0,3172.58
1108,2988.0,3444.82
1109,2908.0,3079.19
1110,2867.0,3073.34
1111,2827.0,3177.19
1112,2924.0,3220.18
1113,2872.0,3296.14
1114,2880.0,3031.83
1115,2930.0,3090.77
1116,2902.0,3193.14
1117,3001.0,3192.17
1118,2874.0,3183.3
1119,3118.0,3332.6
1120,3044.0,3068.13
1121,3123.0,3106.29
1122,2897.0,3105.22
1123,2910.0,3058.48
1124,2941.0,3204.51
1125,2964.0,3161.61
1126,2941.0,6409.03
1127,3007.0,3053.3
1128,3021.0,3212.03
1129,3107.0,3475.09
1130,2954.0,3158.82
1131,3068.0,3204.08
1132,2977.0,3133.94
1133,2900.0,3099.53
1134,2917.0,3102.23
1135,2948.0,3122.83
1136,2930.0,4357.3
1137,2934.0,3190.12
1138,2974.0,4357.94
1139,2812.0,3312.81
1140,3040.0,3081.07
1141,3097.0,3265.97
1142,2876.0,6611.14
1143,2827.0,3138.68
1144,2937.0,3679.2
1145,2846.0,3123.39
