Time (sec), Avg. Response Time (us), Standard deviation (us)
545,6498.0,958.92
546,6479.0,733.63
547,6533.0,835.85
548,6732.0,2360.99
549,6638.0,1380.63
550,6474.0,773.71
551,6574.0,920.4
552,6705.0,2092.42
553,6668.0,1515.16
554,6445.0,776.73
555,6483.0,807.69
556,6491.0,801.36
557,6945.0,2521.67
558,6989.0,2505.85
559,6859.0,2429.55
560,6958.0,2487.66
561,6533.0,1474.25
562,6522.0,1439.34
563,6450.0,847.85
564,6448.0,791.53
565,6489.0,800.41
566,6524.0,851.79
567,6834.0,2348.66
568,6852.0,2423.78
569,6814.0,2431.34
570,6644.0,1475.88
571,6491.0,813.23
572,6576.0,1842.57
573,6437.0,826.16
574,6499.0,799.29
575,6801.0,2016.8
576,6490.0,840.46
577,6609.0,1557.38
578,6631.0,1659.59
579,6713.0,2004.05
580,6657.0,1650.93
581,6541.0,926.3
582,6705.0,1448.53
583,6772.0,2162.48
584,6790.0,1977.44
585,6469.0,800.13
586,6497.0,805.12
587,6813.0,1931.78
588,6997.0,2532.43
589,6878.0,2443.28
590,6886.0,2474.65
591,6656.0,1561.53
592,6782.0,3052.71
593,6448.0,765.8
594,6531.0,1054.61
595,7098.0,2459.98
596,6557.0,997.28
597,6703.0,1724.88
598,6776.0,2394.27
599,6547.0,1130.94
600,6461.0,741.64
601,6592.0,1958.7
602,6663.0,1592.72
603,6560.0,1071.34
604,6413.0,806.33
605,6524.0,789.41
606,6687.0,1309.33
607,6722.0,1758.37
608,6646.0,939.31
609,6590.0,1108.01
610,6544.0,896.54
611,6687.0,1422.86
612,6634.0,893.84
613,6585.0,798.19
614,6618.0,852.51
615,6644.0,816.0
616,6596.0,1565.3
617,6829.0,2481.55
618,6604.0,1103.14
619,6604.0,1532.04
620,6571.0,840.8
621,6664.0,1879.27
622,6647.0,1696.24
623,6649.0,1762.27
624,6700.0,1328.06
625,6553.0,834.23
626,6600.0,887.41
627,6620.0,894.49
628,6623.0,852.84
629,6563.0,843.65
630,6590.0,900.73
631,6626.0,856.11
632,6617.0,835.71
633,6529.0,848.32
634,6605.0,1099.7
635,6646.0,808.02
636,6631.0,1679.84
637,6582.0,909.67
638,6589.0,856.52
639,6554.0,1640.12
640,6621.0,938.51
641,6865.0,1725.89
642,6698.0,2331.45
643,6826.0,2501.56
644,6599.0,1888.71
645,6702.0,2252.98
646,6698.0,2586.56
647,6678.0,1929.08
648,6725.0,2539.81
649,6681.0,2079.74
650,6620.0,2054.81
651,6714.0,2351.81
652,6755.0,1812.38
653,6543.0,1460.6
654,6630.0,1190.69
655,6585.0,1426.06
656,6676.0,1800.51
657,6596.0,1301.04
