Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 2295600, 20200, 2265100, 1253313665922, 1253313667622, 1253313687822, 1253313689222, 1253315954322, 1253315961522, true, 3
get, 3120900, 797000, 2315200, 1253326448622, 1253326450022, 1253327247022, 1253327248222, 1253329563422, 1253329569522, true, 47
get, 8409000, 2423000, 5978200, 1253327444322, 1253327445622, 1253329868622, 1253329869722, 1253335847922, 1253335853322, true, 47
get, 14799700, 5519400, 9260000, 1253331425422, 1253331426722, 1253336946122, 1253336947122, 1253346207122, 1253346225122, true, 47
get, 13163000, 10560700, 2593800, 1253337049222, 1253337050622, 1253347611322, 1253347612322, 1253350206122, 1253350212222, true, 47
get, 18075100, 10267500, 7799200, 1253347795022, 1253347796322, 1253358063822, 1253358064922, 1253365864122, 1253365870122, true, 47
get, 11076800, 9062700, 2002500, 1253358362822, 1253358364222, 1253367426922, 1253367427922, 1253369430422, 1253369439622, true, 47
get, 3281400, 2115300, 1158500, 1253367375922, 1253367377222, 1253369492522, 1253369493522, 1253370652022, 1253370657322, true, 47
set, 8880500, 36900, 8770400, 1253369856222, 1253369857522, 1253369894422, 1253369895522, 1253378665922, 1253378736722, true, 0
get, 12703500, 4622700, 8073300, 1253370520522, 1253370521822, 1253375144522, 1253375145522, 1253383218822, 1253383224022, true, 47
get, 17020400, 8296600, 8714300, 1253376305622, 1253376307022, 1253384603622, 1253384604622, 1253393318922, 1253393326022, true, 47
get, 12115900, 10368500, 1739400, 1253384916822, 1253384918122, 1253395286622, 1253395287922, 1253397027322, 1253397032722, true, 47
get, 6135900, 4352300, 1775800, 1253395855322, 1253395856622, 1253400208922, 1253400209922, 1253401985722, 1253401991222, true, 43
get, 11267200, 10935100, 318800, 1253402289622, 1253402291022, 1253413226122, 1253413227522, 1253413546322, 1253413556822, true, 37
get, 12022300, 8252900, 3761100, 1253405371022, 1253405372322, 1253413625222, 1253413626222, 1253417387322, 1253417393322, true, 46
get, 6507800, 5517500, 970800, 1253414706122, 1253414707422, 1253420224922, 1253420226222, 1253421197022, 1253421213922, true, 31
set, 2908900, 90100, 2726900, 1253425935122, 1253425936422, 1253426026522, 1253426027522, 1253428754422, 1253428844022, true, 0
get, 8853800, 1853900, 6987400, 1253422795522, 1253422796922, 1253424650822, 1253424652022, 1253431639422, 1253431649322, true, 46
get, 11998600, 10525600, 1449800, 1253425939422, 1253425940722, 1253436466322, 1253436467422, 1253437917222, 1253437938022, true, 47
get, 3737000, 2957700, 771500, 1253437600822, 1253437602222, 1253440559922, 1253440560822, 1253441332322, 1253441337822, true, 39
get, 1176900, 758700, 411000, 1253442791522, 1253442792922, 1253443551622, 1253443552622, 1253443963622, 1253443968422, true, 47
get, 3061600, 23500, 3023700, 1253452562522, 1253452563922, 1253452587422, 1253452589122, 1253455612822, 1253455624122, true, 14
get, 13045400, 10634300, 2399300, 1253456433322, 1253456434722, 1253467069022, 1253467070222, 1253469469522, 1253469478722, true, 47
get, 6620600, 5081300, 1529300, 1253467139222, 1253467140522, 1253472221822, 1253472222822, 1253473752122, 1253473759822, true, 47
get, 12290900, 3281500, 8911400, 1253470745122, 1253470746722, 1253474028222, 1253474029422, 1253482940822, 1253483036022, true, 24
get, 2350000, 696900, 1643000, 1253484969822, 1253484971222, 1253485668122, 1253485669322, 1253487312322, 1253487319822, true, 20
get, 15178800, 11689700, 3473800, 1253485954122, 1253485955522, 1253497645222, 1253497646222, 1253501120022, 1253501132922, true, 47
set, 10863200, 2352600, 8432400, 1253491185722, 1253491187222, 1253493539822, 1253493541022, 1253501973422, 1253502048922, true, 0
get, 9294100, 6728700, 2557300, 1253493157622, 1253493158922, 1253499887622, 1253499888822, 1253502446122, 1253502451722, true, 47
get, 12759800, 5822200, 6928700, 1253499714522, 1253499715922, 1253505538122, 1253505539122, 1253512467822, 1253512474322, true, 39
get, 6883400, 67700, 6807300, 1253517379322, 1253517380722, 1253517448422, 1253517449922, 1253524257222, 1253524262722, true, 28
get, 3661600, 2435900, 1218600, 1253525192222, 1253525193522, 1253527629422, 1253527630522, 1253528849122, 1253528853822, true, 32
get, 9448700, 8002000, 1437400, 1253533858522, 1253533859922, 1253541861922, 1253541863022, 1253543300422, 1253543307222, true, 47
get, 8359500, 6863600, 1488500, 1253537716722, 1253537718022, 1253544581622, 1253544582922, 1253546071422, 1253546076222, true, 47
get, 8818500, 6140900, 2669900, 1253544476922, 1253544478322, 1253550619222, 1253550620222, 1253553290122, 1253553295422, true, 47
get, 11202300, 7482700, 3708000, 1253548353722, 1253548355022, 1253555837722, 1253555838822, 1253559546822, 1253559556022, true, 47
get, 9393500, 2054400, 7329500, 1253552671722, 1253552673722, 1253554728122, 1253554729422, 1253562058922, 1253562065222, true, 47
get, 6828500, 4400000, 2418300, 1253557644822, 1253557646222, 1253562046222, 1253562047222, 1253564465522, 1253564473322, true, 47
get, 13971700, 12680200, 1283300, 1253562614222, 1253562615822, 1253575296022, 1253575297022, 1253576580322, 1253576585922, true, 47
get, 5862900, 4263400, 1591500, 1253573100122, 1253573101422, 1253577364822, 1253577365822, 1253578957322, 1253578963022, true, 47
set, 10470900, 1262300, 9142600, 1253563623522, 1253563625222, 1253564887522, 1253564888522, 1253574031122, 1253574094422, true, 0
get, 4993900, 3248400, 1730700, 1253579204722, 1253579206022, 1253582454422, 1253582455922, 1253584186622, 1253584198622, true, 46
get, 8795900, 7822500, 963200, 1253584389322, 1253584390722, 1253592213222, 1253592214322, 1253593177522, 1253593185222, true, 20
get, 3586400, 2521400, 1056500, 1253593006922, 1253593008322, 1253595529722, 1253595530922, 1253596587422, 1253596593322, true, 20
