Time (sec), TPS(ops/sec)
1537,16115.0
1538,17135.0
1539,16558.0
1540,15133.0
1541,15077.0
1542,17602.0
1543,16591.0
1544,14876.0
1545,17253.0
1546,17111.0
1547,15873.0
1548,17218.0
1549,16890.0
1550,16361.0
1551,16921.0
1552,16368.0
1553,16991.0
1554,16181.0
1555,15975.0
1556,17225.0
1557,16152.0
1558,16071.0
1559,17847.0
1560,15462.0
1561,17219.0
1562,17224.0
1563,16481.0
1564,16731.0
1565,17267.0
1566,16686.0
1567,14810.0
1568,15629.0
1569,16398.0
1570,15833.0
1571,14928.0
1572,16153.0
1573,16051.0
1574,17245.0
1575,17376.0
1576,16772.0
1577,17194.0
1578,17593.0
1579,15578.0
1580,15943.0
1581,16067.0
1582,16358.0
1583,16677.0
1584,15511.0
1585,17683.0
1586,16053.0
1587,16128.0
1588,16435.0
1589,16987.0
1590,15069.0
1591,15539.0
1592,16730.0
1593,14252.0
1594,17023.0
1595,17311.0
1596,16354.0
1597,17073.0
1598,17278.0
1599,16781.0
1600,16348.0
1601,16777.0
1602,17255.0
1603,17784.0
1604,17145.0
1605,17741.0
1606,17664.0
1607,16918.0
1608,16181.0
1609,16746.0
1610,17052.0
1611,15858.0
1612,16311.0
1613,16835.0
1614,16434.0
1615,15662.0
1616,16935.0
1617,16661.0
1618,12888.0
1619,15897.0
1620,16725.0
1621,15256.0
1622,16798.0
1623,15974.0
1624,16625.0
1625,16590.0
1626,16996.0
1627,17312.0
1628,15073.0
1629,16270.0
1630,16541.0
1631,14283.0
1632,16217.0
1633,15796.0
1634,14131.0
1635,16450.0
1636,15573.0
1637,14891.0
1638,16651.0
1639,15915.0
1640,15074.0
1641,17319.0
1642,16673.0
1643,16818.0
1644,16328.0
1645,15990.0
1646,15957.0
1647,15776.0
1648,15730.0
1649,16541.0
1650,16469.0
1651,14963.0
1652,16706.0
1653,16112.0
1654,14488.0
1655,14138.0
1656,16185.0
1657,17042.0
1658,14489.0
1659,16747.0
1660,16438.0
1661,14187.0
1662,16836.0
1663,16122.0
1664,17039.0
1665,16154.0
1666,16218.0
1667,15694.0
1668,16971.0
1669,15599.0
1670,16780.0
1671,17787.0
1672,15021.0
1673,15250.0
1674,17334.0
1675,14979.0
1676,15362.0
1677,16358.0
1678,16171.0
1679,15446.0
1680,15625.0
1681,16634.0
1682,16038.0
1683,15277.0
1684,16405.0
1685,15690.0
1686,17379.0
1687,17177.0
1688,16403.0
1689,16430.0
1690,16531.0
1691,15620.0
1692,14772.0
1693,15668.0
1694,15242.0
1695,16789.0
1696,15151.0
1697,16409.0
1698,15700.0
1699,14629.0
1700,15851.0
1701,15207.0
1702,14917.0
1703,15216.0
1704,16317.0
1705,15567.0
1706,15079.0
1707,16823.0
1708,17595.0
1709,17090.0
1710,16357.0
1711,16543.0
1712,17044.0
1713,17042.0
1714,15724.0
1715,17068.0
1716,16982.0
1717,15899.0
1718,16137.0
1719,17116.0
1720,17218.0
1721,15745.0
1722,16766.0
1723,17474.0
1724,14837.0
1725,14894.0
1726,15917.0
1727,15071.0
1728,14907.0
1729,14461.0
1730,14462.0
1731,15641.0
1732,14606.0
1733,13944.0
1734,16289.0
1735,16133.0
1736,15039.0
1737,16333.0
1738,16305.0
1739,14882.0
1740,16665.0
1741,17110.0
1742,15129.0
1743,17697.0
1744,16752.0
1745,15684.0
1746,16955.0
1747,15971.0
1748,16961.0
1749,16591.0
1750,16473.0
1751,15972.0
1752,15893.0
1753,16398.0
1754,15252.0
1755,16110.0
1756,15841.0
1757,16303.0
1758,16275.0
1759,14005.0
1760,15505.0
1761,14931.0
1762,14307.0
1763,14690.0
1764,15845.0
1765,14802.0
1766,16163.0
1767,15766.0
1768,15062.0
1769,16167.0
1770,16438.0
1771,15738.0
1772,16771.0
1773,16174.0
1774,15289.0
1775,15426.0
1776,16643.0
1777,16475.0
1778,13154.0
1779,15754.0
1780,15852.0
