Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
set, 9372400, 6206700, 3143600, 1391169273522, 1391169274722, 1391175481422, 1391175482522, 1391178626122, 1391178645922, true, 0
get, 3957800, 3403800, 537600, 1391177434622, 1391177435722, 1391180839522, 1391180840622, 1391181378222, 1391181392422, true, 47
get, 10701800, 5900300, 4769700, 1391179699122, 1391179700222, 1391185600522, 1391185601422, 1391190371122, 1391190400922, true, 47
get, 5316000, 4542600, 764700, 1391185546322, 1391185547922, 1391190090522, 1391190091722, 1391190856422, 1391190862322, true, 47
get, 644400, 224400, 412300, 1391205105822, 1391205106922, 1391205331322, 1391205332322, 1391205744622, 1391205750222, true, 18
get, 4422100, 3951600, 458900, 1391206587722, 1391206588822, 1391210540422, 1391210541922, 1391211000822, 1391211009822, true, 32
get, 11949700, 10437900, 1500300, 1391212758322, 1391212759422, 1391223197322, 1391223198422, 1391224698722, 1391224708022, true, 43
get, 19068800, 13883400, 5178000, 1391207548522, 1391207549622, 1391221433022, 1391221434222, 1391226612222, 1391226617322, true, 15
get, 12067800, 2933600, 9092400, 1391227723722, 1391227724922, 1391230658522, 1391230659522, 1391239751922, 1391239791522, true, 45
get, 9628000, 8491600, 1129700, 1391231182722, 1391231183822, 1391239675422, 1391239676522, 1391240806222, 1391240810722, true, 45
set, 7216700, 25200, 7159500, 1391240820422, 1391240821622, 1391240846822, 1391240847822, 1391248007322, 1391248037122, true, 0
get, 9716700, 8258600, 1449900, 1391240041122, 1391240042222, 1391248300822, 1391248301922, 1391249751822, 1391249757822, true, 47
get, 3756700, 2352100, 1397500, 1391248709822, 1391248710922, 1391251063022, 1391251064222, 1391252461722, 1391252466522, true, 47
get, 11578000, 9036300, 2533400, 1391252548722, 1391252549822, 1391261586122, 1391261587222, 1391264120622, 1391264126722, true, 36
get, 3635400, 1886600, 1737900, 1391264699822, 1391264701022, 1391266587622, 1391266588822, 1391268326722, 1391268335222, true, 47
get, 7278100, 4212200, 3057400, 1391265793222, 1391265794522, 1391270006722, 1391270007922, 1391273065322, 1391273071322, true, 47
